,Open,High,Low,Close,Volume
2023-01-02,30.0,30.095818687361838,29.8398533813221,30.0,2514907
2023-01-03,30.0,31.56099210388254,31.069776626076553,31.13346646737925,1972477
2023-01-04,31.13346646737925,31.388467315146794,30.871686690777597,30.89602111115919,2606045
2023-01-05,30.89602111115919,29.201353769896198,28.6504430395785,28.921157195425973,11053846
2023-01-06,28.921157195425973,27.418279457745903,26.79557197147142,27.24600912805218,9752656
2023-01-09,27.24600912805218,27.27934603898064,27.031085579522063,27.101028930383297,2193326
2023-01-10,27.101028930383297,27.95367731572492,27.201262331009424,27.45667013938192,7107719
2023-01-11,27.45667013938192,26.36395192431721,25.730509540757875,26.0100194032031,5176110
2023-01-12,26.0100194032031,28.233518376250917,27.524191893162364,27.74346947062934,4220247
2023-01-13,27.74346947062934,28.959832212291268,27.99624607841593,28.297336756324736,6939428
2023-01-16,28.297336756324736,28.93508277431291,28.599377952180266,28.658527435332694,4484064
2023-01-17,28.658527435332694,27.596535030756883,27.263057361934813,27.456268056537226,9860874
2023-01-18,27.456268056537226,28.515186211127386,28.005322151404282,28.481613264086917,3663634
2023-01-19,28.481613264086917,29.196625020539,28.719852041143298,28.918919975034743,2191799
2023-01-20,28.918919975034743,28.623533005703884,27.952969598658218,28.4311227677968,2844049
2023-01-23,28.4311227677968,23.834373797462632,23.132325205249312,23.494785390404083,9638344
2023-01-24,23.494785390404083,27.085191698773496,26.611966169813954,26.754769318776077,6871287
2023-01-25,26.754769318776077,27.61715316527419,27.205659635749196,27.313505463717384,4180566
2023-01-26,27.313505463717384,28.462569393076446,27.989514969828466,28.002538623869597,3347762
2023-01-27,28.002538623869597,31.08669788251401,30.324621534607086,30.637106996678334,6076076
2023-01-30,30.637106996678334,34.662836143269395,34.55905680880897,34.578052486567,4941921
2023-01-31,34.578052486567,34.06095667646566,33.63471470647951,33.65444492640272,3731242
2023-02-01,33.65444492640272,35.89662803016367,35.50966193350598,35.76508613667424,7133923
2023-02-02,35.76508613667424,38.31875920177317,38.07225147016516,38.30662531353173,4545156
2023-02-03,38.30662531353173,39.45295257190811,39.33024020408688,39.44681961229743,4789765
2023-02-06,39.44681961229743,37.516135688773225,36.99923027493896,37.328968944447205,10387185
2023-02-07,37.328968944447205,34.36278526017359,33.685688231320945,34.18012806433045,5581092
2023-02-08,34.18012806433045,35.02750154304297,33.759832128126206,34.78289121745779,2177472
2023-02-09,34.78289121745779,31.499813817857554,31.213303348678085,31.316046478792355,4509317
2023-02-10,31.316046478792355,31.694060827883817,31.077640215650053,31.531855354432313,2108351
2023-02-13,31.531855354432313,31.473652093875685,31.23416270640075,31.43013067392852,3018552
2023-02-14,31.43013067392852,32.52977180719302,31.99713572825979,32.05677123471889,1455838
2023-02-15,32.05677123471889,33.245294905901964,32.19108617512854,32.93712239450747,3585518
2023-02-16,32.93712239450747,30.46635095492981,30.40446394343029,30.4214893540548,11203651
2023-02-17,30.4214893540548,32.78196897845179,32.04448568911178,32.71551631181889,9286857
2023-02-20,32.71551631181889,32.27171529683304,32.096214100965504,32.18965484960295,3192272
2023-02-21,32.18965484960295,36.641084937201875,36.164340929622135,36.54098936743877,10468725
2023-02-22,36.54098936743877,38.00161485177243,37.88410227180538,37.97871900117768,5240089
2023-02-23,37.97871900117768,39.31740714348963,39.00398815569911,39.0648814593786,2037828
2023-02-24,39.0648814593786,40.4498627543315,40.25059614017998,40.41071726119586,3016703
2023-02-27,40.41071726119586,44.714550893412195,43.64010311256005,44.27717174014355,13305975
2023-02-28,44.27717174014355,41.691388147924805,40.73055363955722,40.79346174252585,11045575
2023-03-01,40.79346174252585,39.65378311499606,39.36434921874726,39.5629850372883,2828323
2023-03-02,39.5629850372883,38.28229446258509,37.85515544620092,37.94593393925014,3206449
2023-03-03,37.94593393925014,38.20865206819498,37.581153138149986,37.59530895549923,1536464
2023-03-06,37.59530895549923,39.55804186373308,39.02551209028393,39.466320289558944,3174152
2023-03-07,39.466320289558944,40.993808295259264,40.66742066262441,40.94380203045407,4815143
2023-03-08,40.94380203045407,43.33208716060567,43.103075326751586,43.18045052541416,2803239
2023-03-09,43.18045052541416,44.06225649179945,43.74744475687747,43.92822551877517,3358783
2023-03-10,43.92822551877517,44.527841165066796,43.22235346146012,43.67001407767043,4383270
2023-03-13,43.67001407767043,44.89730881518253,43.992191411440224,44.85596924502093,3587377
2023-03-14,44.85596924502093,46.39781212226873,45.23569033464712,46.21653115770461,4167532
2023-03-15,46.21653115770461,46.94039636824799,46.08625478279162,46.389753289947684,3615483
2023-03-16,46.389753289947684,47.936099998267586,47.62129969482526,47.87038709087896,6031039
2023-03-17,47.87038709087896,46.84502689079223,46.25879126727248,46.42599657021305,1785282
2023-03-20,46.42599657021305,45.51232065824765,45.10714350229792,45.40572763609528,1878242
2023-03-21,45.40572763609528,44.70084116202694,43.64659216411797,43.973345399222424,2464748
2023-03-22,43.973345399222424,52.08447719529692,51.0015190515214,51.62623690905446,6404564
2023-03-23,51.62623690905446,48.97039305459643,48.33735459445997,48.934048808399595,3024179
2023-03-24,48.934048808399595,50.766947915743636,50.379018050463216,50.473412230128886,4739608
2023-03-27,50.473412230128886,49.47216681357194,47.97235113087902,48.303987247090745,3052990
2023-03-28,48.303987247090745,51.137905445329906,50.73215911827025,50.892901488446604,7393036
2023-03-29,50.892901488446604,53.331023019164505,52.697126479140614,53.00099797972771,863092
2023-03-30,53.00099797972771,47.27330303014439,46.173715896900056,47.18177296560425,4143386
2023-03-31,47.18177296560425,51.306472241704384,49.53806367074181,50.35774084719655,18581057
2023-04-03,50.35774084719655,50.08547794544241,49.34841657236611,49.926570788247055,2815732
2023-04-04,49.926570788247055,52.070309507968375,50.04589453867608,51.3389627161014,2857232
2023-04-05,51.3389627161014,51.14845260816368,50.2813393721182,50.3269483570224,1771913
2023-04-06,50.3269483570224,53.1429890739759,52.89648321652054,53.11643813533968,3610364
2023-04-07,53.11643813533968,61.399576253718244,59.606630500895115,60.11776859098073,14270954
2023-04-10,60.11776859098073,74.78372134567347,72.86501782989211,73.7565703162437,10042346
2023-04-11,73.7565703162437,80.3408499866168,80.07118779402026,80.23211534496616,10507472
2023-04-12,80.23211534496616,80.61708046613538,78.39596932377465,80.44906368042943,1634698
2023-04-13,80.44906368042943,82.64851222830629,82.10508083237632,82.15148091211334,2379167
2023-04-14,82.15148091211334,78.08891870239172,76.92100436223933,77.49611992146832,10836919
2023-04-17,77.49611992146832,75.87735849092965,74.52242763140676,75.21031566982631,5225528
2023-04-18,75.21031566982631,80.78890325584273,79.46235005163469,79.89167074501604,6972607
2023-04-19,79.89167074501604,84.3972507439446,83.4235893429443,83.71134311944587,4163777
2023-04-20,83.71134311944587,86.22680763005762,84.07044265974454,84.16756972072982,2048450
2023-04-21,84.16756972072982,82.21686125631503,79.55833275231973,80.51973134821299,2866362
2023-04-24,80.51973134821299,80.89522469976697,80.70146088336271,80.85363227550266,3864775
2023-04-25,80.85363227550266,79.54810707899979,79.13171747733507,79.20732820622429,4408695
2023-04-26,79.20732820622429,78.2926429227393,76.74805902081064,78.13187098964475,6484836
2023-04-27,78.13187098964475,75.53838132991527,73.11859709814775,73.89990724480309,4994979
2023-04-28,73.89990724480309,71.95867452788156,70.77894897460834,71.9000644085772,3300910
2023-05-01,71.9000644085772,70.40164756140834,67.97826075964109,69.99952973886512,7654483
2023-05-02,69.99952973886512,75.44351793226177,74.41813830664427,74.61887839789883,13294482
2023-05-03,74.61887839789883,75.44214630971176,73.75192194854611,74.73140494268668,3404160
