,Open,High,Low,Close,Volume
2023-01-02,25.0,25.093088839194273,24.85704436541227,25.0,3260554
2023-01-03,25.0,23.35745711195763,22.576109656325027,23.05420883056681,9990547
2023-01-04,23.05420883056681,23.44126835533953,22.95321119905421,23.14423294362886,3852975
2023-01-05,23.14423294362886,23.09322947573335,22.566395150063066,22.990043540718183,4184002
2023-01-06,22.990043540718183,22.879021513646318,22.45169087258233,22.64986226572515,4109664
2023-01-09,22.64986226572515,21.977807698860634,21.56323780731471,21.69514773871505,3311853
2023-01-10,21.69514773871505,23.232603888567596,22.694906954121183,22.91764540962301,13780460
2023-01-11,22.91764540962301,22.360338678238055,21.937074189560335,21.975628582837846,2904676
2023-01-12,21.975628582837846,21.49104385576182,21.378026160861975,21.446165884945927,3739884
2023-01-13,21.446165884945927,21.159814456909967,20.7271550424253,20.993388882237756,1535273
2023-01-16,20.993388882237756,20.33461175716354,19.989267340170038,20.115206694232054,4990417
2023-01-17,20.115206694232054,21.715680256864683,21.53711218647572,21.567591950715386,7067979
2023-01-18,21.567591950715386,21.394985491519872,21.206061322083155,21.378816842493514,2101793
2023-01-19,21.378816842493514,20.1946398061857,19.780477232436276,20.024928781777962,5934765
2023-01-20,20.024928781777962,20.542949609252798,20.265037751677596,20.369812313436594,3102581
2023-01-23,20.369812313436594,21.299152584152615,20.86586583882102,21.258821692648233,4133668
2023-01-24,21.258821692648233,21.886724314149514,21.62709229828665,21.790492771203965,1901619
2023-01-25,21.790492771203965,27.645749948363502,26.48717054945132,27.078948019726283,9418374
2023-01-26,27.078948019726283,26.315360115173753,26.085849151796005,26.301063270369145,1771552
2023-01-27,26.301063270369145,26.09092894745232,25.72482842097101,25.740552920240432,3115123
2023-01-30,25.740552920240432,25.12299528504426,24.730451872561957,25.053506848558243,1357640
2023-01-31,25.053506848558243,26.625645062092072,26.329649877045895,26.560602697303064,5275328
2023-02-01,26.560602697303064,27.406123639366747,26.986423750933852,27.217849186989717,2618052
2023-02-02,27.217849186989717,27.15418620652797,26.84105583173917,26.957910958021298,4978191
2023-02-03,26.957910958021298,26.548385389900947,26.40812050857436,26.436398875490713,7156844
2023-02-06,26.436398875490713,25.986941604196208,25.701365597031565,25.783432679740088,2238906
2023-02-07,25.783432679740088,24.0304084073636,23.804677722518793,23.860970934178326,5353692
2023-02-08,23.860970934178326,22.750467256011788,22.489469304910035,22.63684896175674,5591002
2023-02-09,22.63684896175674,22.722976330980664,22.515272125957758,22.583129981757917,2786134
