,Open,High,Low,Close,Volume
2023-01-02,35.0,35.412827561965756,34.917907601230844,35.0,2224862
2023-01-03,35.0,34.782216998076336,33.865455488710296,34.33274940871725,3671376
2023-01-04,34.33274940871725,35.20754034640136,34.12647181211487,35.14442592385274,2833165
2023-01-05,35.14442592385274,35.5499134818593,34.241333573185464,34.93682366912501,2817196
2023-01-06,34.93682366912501,35.46685912302818,34.4876143961111,35.12245730385399,2164094
2023-01-09,35.12245730385399,35.31591488431758,35.11811571433806,35.188041192822155,7020528
2023-01-10,35.188041192822155,35.678600357753474,34.93635208451507,35.23039233826354,6816265
2023-01-11,35.23039233826354,34.69403482250952,34.58639689847886,34.66963524340457,3312485
2023-01-12,34.66963524340457,34.29260478946283,33.479576172081366,33.75942296917166,6627857
2023-01-13,33.75942296917166,36.599362173577575,35.94748336179766,36.12038108719031,7825264
2023-01-16,36.12038108719031,36.36765360226145,35.35106382203733,35.7228862501616,1535683
2023-01-17,35.7228862501616,36.61686701801044,36.17788693955484,36.48486673540668,3153823
2023-01-18,36.48486673540668,38.010386027452064,37.28067128762253,37.442780068526254,2347024
2023-01-19,37.442780068526254,37.755656485578406,37.284648291870795,37.429144901246296,2767851
2023-01-20,37.429144901246296,36.38604707162464,35.50187895386062,36.147749809265555,2542529
2023-01-23,36.147749809265555,34.365478174320224,33.965745160998324,34.19527000061979,16449424
2023-01-24,34.19527000061979,34.54843443271361,33.191050930676504,34.23078063963953,5072265
2023-01-25,34.23078063963953,34.6545909494278,34.457627104800004,34.498425450477264,5606874
2023-01-26,34.498425450477264,35.59853831940553,35.133455495549896,35.4610275513093,3795542
2023-01-27,35.4610275513093,35.25266776975537,34.33012061473233,34.68888775787509,3223223
2023-01-30,34.68888775787509,34.85888470234505,33.62562377692055,34.69835704422533,1251507
2023-01-31,34.69835704422533,33.88709593205118,33.39498890896982,33.65669716985837,2915729
2023-02-01,33.65669716985837,34.679839824449246,34.302478015452806,34.6756683859748,4837642
2023-02-02,34.6756683859748,34.57072563424798,33.88612724988123,33.97274753056118,3124166
2023-02-03,33.97274753056118,33.39634689665148,32.58348823840989,33.321616878888854,3190709
2023-02-06,33.321616878888854,31.50600307919491,31.12253821976509,31.24383270228005,19544389
2023-02-07,31.24383270228005,31.75378500076689,31.41285500672603,31.4908791053444,5793540
2023-02-08,31.4908791053444,32.487683201165446,31.145692755757945,32.064167135706064,6990017
2023-02-09,32.064167135706064,33.46085090014834,33.00881520279415,33.14828580803593,5908887
2023-02-10,33.14828580803593,32.04218529088609,31.515342186207263,31.982415534913617,1629358
2023-02-13,31.982415534913617,32.4535137223321,32.09749086013033,32.36921783563986,2417149
2023-02-14,32.36921783563986,32.514861979553324,31.586992129132945,32.278770743604866,3267682
2023-02-15,32.278770743604866,31.43843841631055,30.745110623727395,30.802479830374867,2482677
2023-02-16,30.802479830374867,30.3861101247699,29.944188351869276,30.121777848411956,2702979
2023-02-17,30.121777848411956,32.32287080440051,31.897098583163064,31.908607475457135,7695206
2023-02-20,31.908607475457135,31.585721936401224,31.49078763757248,31.52190501137096,13339766
2023-02-21,31.52190501137096,32.480642905066695,31.610266487457437,31.957931861145934,1166739
2023-02-22,31.957931861145934,31.193832531510044,30.81273414550122,31.123926121961308,3979572
2023-02-23,31.123926121961308,31.336097698982204,30.972308743828464,31.19466603101569,2947969
2023-02-24,31.19466603101569,30.533408812829208,29.812709618521634,30.33121290888134,4169420
2023-02-27,30.33121290888134,29.234928041276127,28.721670010160388,29.074789471553178,1744847
2023-02-28,29.074789471553178,29.00435179499908,28.704241292014174,28.993923063136812,5387785
2023-03-01,28.993923063136812,31.201737430423904,30.435295243340263,31.095347120801055,7278599
2023-03-02,31.095347120801055,29.337634238735994,28.563611827228947,28.779223432653342,36508996
2023-03-03,28.779223432653342,28.768652856814487,28.38037865658865,28.57328958898827,5092664
